Time_in_ms	MagX	MagY	MagZ	Bearing
3022	-83.52	-207.16	170.12	248.04
3294	-85.04	-199.26	172.38	246.89
3564	-94.15	-199.26	176.92	244.71
3844	-97.19	-199.26	181.46	244.00
4116	-80.48	-200.84	174.65	248.16
4387	-89.59	-191.35	165.58	244.91
4681	-83.52	-194.51	183.72	246.76
4952	-83.52	-191.35	174.65	246.42
5222	-82.00	-202.42	195.07	247.95
5495	-82.00	-192.93	195.07	246.97
5771	-75.93	-196.09	195.07	248.83
6040	-85.04	-199.26	190.53	246.89
6317	-92.63	-194.51	165.58	244.54
6593	-85.04	-196.09	181.46	246.56
6896	-91.11	-196.09	176.92	245.08
7170	-86.56	-194.51	170.12	246.01
7442	-92.63	-194.51	179.19	244.54
7716	-91.11	-196.09	172.38	245.08
7993	-91.11	-202.42	181.46	245.77
8269	-94.15	-205.58	185.99	245.39
8545	-89.59	-204.00	179.19	246.29
8824	-86.56	-204.00	188.26	247.01
9124	-80.48	-204.00	179.19	248.47
9402	-82.00	-189.77	181.46	246.63
9677	-83.52	-194.51	174.65	246.76
9950	-88.07	-215.07	176.92	247.73
10223	-97.19	-186.60	185.99	242.49
10557	-83.52	-194.51	188.26	246.76
10832	-100.22	-196.09	181.46	242.93
11110	-89.59	-200.84	170.12	245.96
11419	-88.07	-205.58	185.99	246.81
11698	-100.22	-186.60	172.38	241.76
11969	-82.00	-186.60	181.46	246.28
12246	-92.63	-197.67	174.65	244.89
12522	-78.96	-196.09	163.31	248.07
12802	-86.56	-191.35	188.26	245.66
13078	-86.56	-188.19	197.33	245.30
13356	-69.85	-202.42	185.99	250.96
13657	-75.93	-196.09	176.92	248.83
13935	-88.07	-199.26	190.53	246.15
14212	-82.00	-196.09	176.92	247.31
14491	-78.96	-205.58	181.46	248.99
14769	-92.63	-194.51	183.72	244.54
15043	-89.59	-197.67	179.19	245.62
15310	-74.41	-197.67	179.19	249.37
15586	-77.44	-210.33	183.72	249.79
15885	-86.56	-188.19	179.19	245.30
16165	-86.56	-188.19	188.26	245.30
16444	-78.96	-199.26	172.38	248.38
16720	-78.96	-192.93	185.99	247.74
17000	-71.37	-197.67	170.12	250.15
17277	-82.00	-192.93	204.14	246.97
17547	-83.52	-188.19	188.26	246.07
17820	-91.11	-186.60	190.53	243.98
18115	-89.59	-197.67	179.19	245.62
18446	-82.00	-180.28	176.92	245.54
18722	-83.52	-194.51	183.72	246.76
18999	-83.52	-197.67	183.72	247.10
19275	-80.48	-197.67	165.58	247.85
19551	-83.52	-185.02	183.72	245.71
19827	-91.11	-196.09	181.46	245.08
20107	-82.00	-199.26	181.46	247.63
